model,seed,window_id,run_name,cumulative_reward,reward_median,reward_ci95_low,reward_ci95_high,sharpe_ratio,sharpe_ci95_low,sharpe_ci95_high,total_fees,total_lvr,gas_cost,fees_to_lvr_ratio,corr_lvr_uncertainty_width
ppo_baseline,7,0,ppo_baseline_seed7_20260504_010720,61638.48847342475,-87.61771745492688,35456.81982930337,87173.18935128942,13.920913823710784,8.766138720009453,18.29505775917281,167281.88083244418,105643.39235901943,0.0,1.5834580573099353,0.5
ppo_baseline,7,1,ppo_baseline_seed7_20260504_010720,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.5
ppo_baseline,17,0,ppo_baseline_seed17_20260504_000808,61638.48847342475,-87.61771745492688,35456.81982930337,87173.18935128942,13.920913823710784,8.766138720009453,18.29505775917281,167281.88083244418,105643.39235901943,0.0,1.5834580573099353,0.5
ppo_baseline,17,1,ppo_baseline_seed17_20260504_000808,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.5
ppo_baseline,29,0,ppo_baseline_seed29_20260504_000854,61638.48847342475,-87.61771745492688,35456.81982930337,87173.18935128942,13.920913823710784,8.766138720009453,18.29505775917281,167281.88083244418,105643.39235901943,0.0,1.5834580573099353,0.5
ppo_baseline,29,1,ppo_baseline_seed29_20260504_000854,15267.511125993295,-4.9939609535312135,8170.180624413533,23335.359234923024,21.44383996625186,16.70668478095314,26.265238510642572,17896.83008898059,1124.3189629872952,1505.0,15.917929589508155,0.2092746034190667
ppo_bayeslvr,7,0,ppo_bayeslvr_seed7_20260504_001650,4109.59411458679,-0.17573670710603265,29.976813010877294,9824.914121678015,5.041681945035579,0.34317696552841837,8.11019241238982,5194.970559287655,985.3764447008638,100.0,5.272066921454289,0.04675306679768068
ppo_bayeslvr,7,1,ppo_bayeslvr_seed7_20260504_001650,82216.64215751529,-4.999999578268093,53320.40872745113,112115.41347591738,18.183373074524603,15.108129158782623,21.076761214476935,118120.0575999017,31753.415442386406,4150.0,3.7199166122529235,-0.0747839187018558
ppo_bayeslvr,17,0,ppo_bayeslvr_seed17_20260504_001740,28500.88335931101,14.408505364267992,24587.528225969378,31942.36750208819,51.61728943294815,47.00617148673474,58.26384209996633,36736.05970807023,4085.176348759221,4150.0,8.992527267330324,0.04675306679768068
ppo_bayeslvr,17,1,ppo_bayeslvr_seed17_20260504_001740,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.042327482317384486
ppo_bayeslvr,29,0,ppo_bayeslvr_seed29_20260504_001830,61638.48847342475,-87.61771745492688,35456.81982930337,87173.18935128942,13.920913823710784,8.766138720009453,18.29505775917281,167281.88083244418,105643.39235901943,0.0,1.5834580573099353,0.04675306679768068
ppo_bayeslvr,29,1,ppo_bayeslvr_seed29_20260504_001830,-131859.83576934435,-119.81970448279799,-138419.5056706734,-124604.8438531862,-115.29996603678308,-141.8554026995025,-89.56758710151968,2844.6230262983745,134704.45879564274,0.0,0.021117512009115387,0.042327482317384486
ppo_bayeslvr_attention,7,0,ppo_bayeslvr_attention_seed7_20260504_001920,3317.609854899075,-4.9999981267684825,-669.2124329340649,10243.323352799867,8.247429299043795,-14.647843427551312,15.205337476594956,5143.720337163241,811.1104822641673,1015.0,6.341577934987164,-0.018598321533947332
ppo_bayeslvr_attention,7,1,ppo_bayeslvr_attention_seed7_20260504_001920,131716.2832943211,-0.14859211917016635,93606.65882594878,177856.5370956658,20.501504714952077,18.016810312007475,22.9811176650123,156831.61418747052,23675.33089314941,1440.0,6.624262820033093,-0.030515504761052407
